timestamp,position_x,position_y,towerType,laneType,teamId,killerId,assistingParticipantIds,type
17.34,8955,8510,OUTER_TURRET,MID_LANE,200,3,[],BUILDING_KILL
20.04,10504,1029,OUTER_TURRET,BOT_LANE,100,9,[10],BUILDING_KILL
20.36,4318,13875,OUTER_TURRET,TOP_LANE,200,1,[],BUILDING_KILL
20.91,5846,6396,OUTER_TURRET,MID_LANE,100,8,[],BUILDING_KILL
21.02,7943,13411,INNER_TURRET,TOP_LANE,200,1,[],BUILDING_KILL
24.95,13866,4505,OUTER_TURRET,BOT_LANE,200,2,[],BUILDING_KILL
28.63,9767,10113,INNER_TURRET,MID_LANE,200,4,[],BUILDING_KILL
29.4,981,10441,OUTER_TURRET,TOP_LANE,100,0,[],BUILDING_KILL
29.9,1512,6699,INNER_TURRET,TOP_LANE,100,0,[6],BUILDING_KILL
31.5,10481,13650,BASE_TURRET,TOP_LANE,200,1,[],BUILDING_KILL
33.49,12611,13084,NEXUS_TURRET,MID_LANE,200,0,[],BUILDING_KILL
36.85,11134,11207,BASE_TURRET,MID_LANE,200,0,[],BUILDING_KILL
37.34,13327,8226,INNER_TURRET,BOT_LANE,200,0,[],BUILDING_KILL
37.64,13624,10572,BASE_TURRET,BOT_LANE,200,1,[],BUILDING_KILL
38.82,13052,12612,NEXUS_TURRET,MID_LANE,200,0,[],BUILDING_KILL
